order_id,order_date,customer_id,region,category,quantity,unit_price
1,2024-11-25,3,West,Support,1,535.77
2,2025-02-05,112,East,Support,19,526.63
3,2024-10-20,192,South,Software,23,601.31
4,2024-02-07,174,North,Software,28,665.11
5,2025-03-23,115,South,Hardware,1,239.82
6,2024-02-21,6,East,Software,6,667.45
7,2024-08-28,149,North,Services,21,183.80
8,2024-07-23,144,West,Support,31,883.47
9,2024-10-07,72,North,Support,29,268.79
10,2024-12-02,111,West,Hardware,30,401.27
11,2025-05-25,37,North,Hardware,13,792.73
12,2024-11-18,179,East,Software,3,137.32
13,2024-08-27,22,South,Support,5,182.40
14,2024-11-09,205,East,Services,37,35.87
15,2025-03-11,41,East,Services,21,321.12
16,2024-04-18,125,South,Software,1,123.31
17,2025-06-28,139,North,Support,16,678.20
18,2024-12-03,58,East,Software,39,766.59
19,2024-11-07,177,East,Software,30,106.46
20,2025-03-02,132,West,Services,38,19.47
21,2025-04-10,24,South,Hardware,35,45.55
22,2024-04-16,134,East,Software,5,379.45
23,2024-07-12,57,North,Hardware,1,686.59
24,2025-06-20,90,East,Hardware,26,612.64
25,2024-02-23,58,North,Services,28,629.79
26,2024-12-18,152,North,Hardware,4,149.35
27,2024-09-03,171,North,Services,23,
28,2025-04-24,50,West,Services,-1,175.56
29,2024-07-15,75,West,Services,17,224.34
30,2025-06-01,155,South,Hardware,-1,422.54
31,2025-01-04,145,North,Software,26,169.53
32,2024-05-29,178,South,Software,27,281.28
33,2025-06-13,63,South,Services,25,251.04
34,2025-03-06,48,East,Hardware,28,78.70
35,2024-07-16,112,South,Software,28,199.83
36,2025-06-24,14,South,Software,14,698.92
37,2024-08-11,43,East,Software,34,634.05
38,2025-05-21,192,West,Support,21,811.68
39,2024-12-12,127,West,Software,1,594.85
40,2025-05-30,139,West,Services,37,337.22
41,2025-03-05,109,South,Services,1,476.92
42,2025-05-15,70,North,Software,5,98.08
43,2024-03-01,67,North,Hardware,33,202.32
44,2025-04-10,21,North,Support,23,851.60
45,2025-04-24,95,East,Hardware,37,386.11
46,2024-09-25,194,South,Services,36,559.25
47,2024-07-09,170,West,Hardware,20,507.21
48,2024-04-01,145,North,Software,21,863.28
49,2024-10-22,25,West,Hardware,33,805.51
50,2024-05-17,15,North,Software,36,896.39
51,2025-04-18,120,West,Software,8,260.52
52,2025-02-04,9,North,Software,40,765.83
53,2025-01-07,36,South,Software,19,
54,2024-07-01,139,East,Support,8,444.99
55,2025-02-25,39,West,Services,-1,632.37
56,2024-03-27,94,West,Services,8,380.01
57,2024-12-30,124,East,Software,18,813.95
58,2024-10-03,41,East,Software,2,
59,2024-09-13,30,East,Services,12,761.77
60,2024-10-27,193,East,Support,37,571.92
61,2025-01-27,49,North,Services,-1,95.25
62,2025-06-04,172,North,Hardware,22,847.89
63,2025-03-18,173,North,Hardware,40,253.95
64,2025-03-19,196,West,Support,34,362.27
65,2024-08-19,67,East,Support,34,143.56
66,2025-06-11,97,South,Support,21,500.30
67,2024-07-16,41,South,Software,23,196.43
68,2025-05-11,178,North,Software,8,420.58
69,2024-07-14,166,North,Software,36,204.95
